season,game_date,game_type,team_1,team_1_score,team_1_advantage,team_2,team_2_score,team_2_advantage,overtime,location
2015,2014-11-14,R,Wichita State,71,1,New Mexico State,54,-1,null,null
2015,2014-11-14,R,Army,84,1,Air Force,78,-1,null,All-Military Classic
2015,2014-11-14,R,Dayton,76,1,Alabama A&M,52,-1,null,null
2015,2014-11-14,R,Florida International,64,1,Florida Col,42,-1,null,null
2015,2014-11-14,R,Middle Tennessee,77,1,Ohio Valley,60,-1,null,null
2015,2014-11-14,R,Southern Miss,86,1,Wm Carey,63,-1,null,null
2015,2014-11-14,R,South Alabama,83,1,Carroll MT,64,-1,null,null
2015,2014-11-14,R,Sam Houston,100,1,Austin Col,52,-1,null,null
2015,2014-11-14,R,Eastern Michigan,64,1,St Francis IL,52,-1,null,null
2015,2014-11-14,R,VMI,66,0,The Citadel,65,0,null,"All-Military Classic West Point, NY"
2015,2014-11-14,R,Fairfield,71,0,Central Connecticut,63,0,null,"Hamden, CT"
2015,2014-11-14,R,Quinnipiac,88,1,Yale,85,-1,2,null
2015,2014-11-14,R,Chattanooga,110,1,Hiwassee,53,-1,null,null
2015,2014-11-14,R,Duke,113,1,Presbyterian,44,-1,null,null
2015,2014-11-14,R,North Texas,84,1,Ark Monticello,62,-1,null,null
2015,2014-11-14,R,Florida,68,1,William & Mary,45,-1,null,null
2015,2014-11-14,R,Mississippi State,66,1,Western Carolina,56,-1,null,null
2015,2014-11-14,R,VCU,85,0,Tennessee,69,0,null,"Annapolis, MD"
2015,2014-11-14,R,West Virginia,64,1,Montana State,54,-1,null,null
2015,2014-11-14,R,Xavier,93,1,Northern Arizona,60,-1,null,null
2015,2014-11-14,R,Bucknell,75,1,Marist,72,-1,null,null
2015,2014-11-14,R,Iona,78,1,Cleveland State,73,-1,null,null
2015,2014-11-14,R,Pittsburgh,78,1,Niagara,45,-1,null,null
2015,2014-11-14,R,Princeton,64,1,Rider,58,-1,null,null
2015,2014-11-14,R,Massachusetts,95,1,Siena,87,-1,null,null
2015,2014-11-14,R,East Carolina,99,1,NC Wesleyan,81,-1,null,null
2015,2014-11-14,R,South Florida,75,1,Flagler,61,-1,null,null
2015,2014-11-14,R,UConn,66,1,Bryant,53,-1,null,null
2015,2014-11-14,R,Purdue Fort Wayne,74,1,Manchester,50,-1,null,null
2015,2014-11-14,R,Lafayette,77,-1,Robert Morris,50,1,null,null
2015,2014-11-14,R,Central Michigan,106,1,Alma,64,-1,null,null
2015,2014-11-14,R,Virginia Tech,71,1,Maryland Eastern Shore,46,-1,null,null
2015,2014-11-14,R,Boston College,58,1,New Hampshire,50,-1,null,null
2015,2014-11-14,R,Clemson,86,1,Florida A&M,41,-1,null,null
2015,2014-11-14,R,Georgia Tech,80,1,Georgia,73,-1,null,null
2015,2014-11-14,R,Virginia,79,-1,James Madison,51,1,null,null
2015,2014-11-14,R,Wake Forest,80,1,UNC Asheville,69,-1,null,null
2015,2014-11-14,R,Miami,84,1,Howard,49,-1,null,null
2015,2014-11-14,R,NC State,93,1,Jackson State,58,-1,null,null
2015,2014-11-14,R,St. John's,77,1,NJIT,58,-1,null,null
2015,2014-11-14,R,South Carolina,81,1,North Florida,56,-1,null,null
2015,2014-11-14,R,Syracuse,89,1,Kennesaw State,42,-1,null,null
2015,2014-11-14,R,Mercer,88,1,Piedmont,48,-1,null,null
2015,2014-11-14,R,UNC Greensboro,76,1,Chowan,62,-1,null,null
2015,2014-11-14,R,Purdue,80,1,Samford,40,-1,null,null
2015,2014-11-14,R,Charleston Southern,66,-1,Ole Miss,65,1,1,null
2015,2014-11-14,R,Longwood,79,1,Averett,53,-1,null,null
2015,2014-11-14,R,George Washington,92,1,Grambling,40,-1,null,null
2015,2014-11-14,R,Cornell,68,-1,George Mason,60,1,null,null
2015,2014-11-14,R,Rhode Island,94,1,Pace,54,-1,null,null
2015,2014-11-14,R,Fairleigh Dickinson,58,-1,St Joseph's PA,57,1,null,null
2015,2014-11-14,R,Stony Brook,57,1,Columbia,56,-1,null,null
2015,2014-11-14,R,Harvard,73,1,MIT,52,-1,null,null
2015,2014-11-14,R,Marshall,74,1,Jacksonville State,55,-1,null,null
2015,2014-11-14,R,Indiana,116,1,Mississippi Valley State,65,-1,null,null
2015,2014-11-14,R,Ohio State,92,1,UMass Lowell,55,-1,null,null
2015,2014-11-14,R,Penn State,61,1,Morgan State,48,-1,null,null
2015,2014-11-14,R,Wright State,73,1,Belmont,70,-1,null,null
2015,2014-11-14,R,Eastern Kentucky,76,1,Savannah State,53,-1,null,null
2015,2014-11-14,R,Detroit Mercy,77,1,Rochester MI,54,-1,null,null
2015,2014-11-14,R,Temple,40,1,American University,37,-1,null,null
2015,2014-11-14,R,Buffalo,69,1,South Dakota State,67,-1,null,null
2015,2014-11-14,R,Richmond,64,1,Radford,46,-1,null,null
2015,2014-11-14,R,Campbell,97,1,Barber-Scotia,58,-1,null,null
2015,2014-11-14,R,Coastal Carolina,79,1,Trinity Bap,36,-1,null,null
2015,2014-11-14,R,Elon,64,1,Florida Atlantic,58,-1,null,null
2015,2014-11-14,R,Maryland,82,1,Wagner,48,-1,null,null
2015,2014-11-14,R,Iowa State,93,1,Oakland,82,-1,null,null
2015,2014-11-14,R,Kansas,69,1,UC Santa Barbara,59,-1,null,null
2015,2014-11-14,R,Oklahoma State,83,1,SE Louisiana,55,-1,null,null
2015,2014-11-14,R,TCU,71,1,Prairie View A&M,54,-1,null,null
2015,2014-11-14,R,Texas,85,1,North Dakota State,50,-1,null,null
2015,2014-11-14,R,Brown,70,1,Saint Peter's,58,-1,null,null
2015,2014-11-14,R,UT Arlington,86,-1,Bradley,75,1,null,null
2015,2014-11-14,R,Indiana State,79,-1,IU Indianapolis,66,1,1,null
2015,2014-11-14,R,Houston,77,-1,Murray State,74,1,null,null
2015,2014-11-14,R,Cincinnati,52,1,St. Francis (PA),37,-1,null,null
2015,2014-11-14,R,Pacific,73,-1,Western Illinois,71,1,1,null
2015,2014-11-14,R,BYU,95,1,Long Beach State,90,-1,null,null
2015,2014-11-14,R,Akron,74,1,UMBC,57,-1,null,null
2015,2014-11-14,R,North Carolina,76,1,North Carolina Central,60,-1,null,null
2015,2014-11-14,R,Hofstra,94,1,Jacksonville,61,-1,null,null
2015,2014-11-14,R,Stetson,75,1,Edward Waters,61,-1,null,null
2015,2014-11-14,R,Kentucky,85,1,Grand Canyon,45,-1,null,null
2015,2014-11-14,R,UT Rio Grande Valley,88,1,Wayland,80,-1,null,null
2015,2014-11-14,R,UTSA,92,1,Huston-Tillot,74,-1,null,null
2015,2014-11-14,R,Arizona,78,1,Mount St. Mary's,55,-1,null,null
2015,2014-11-14,R,Colorado,65,1,Drexel,48,-1,null,null
2015,2014-11-14,R,Georgia State,115,1,TN Temple,55,-1,null,null
2015,2014-11-14,R,Troy,85,1,Brewton-Parker,71,-1,null,null
2015,2014-11-14,R,Louisiana,85,1,Louisiana Chr,57,-1,null,null
2015,2014-11-14,R,Northwestern,65,1,Houston Christian,58,-1,null,null
2015,2014-11-14,R,Texas A&M,109,1,Northwestern State,68,-1,null,null
2015,2014-11-14,R,Abilene Christian,101,1,Randall,61,-1,null,null
2015,2014-11-14,R,Stephen F. Austin,75,1,Mississippi Col,49,-1,null,null
2015,2014-11-14,R,TAM C. Christi,73,1,Our Lady Lake,58,-1,null,null
2015,2014-11-14,R,SIU Edwardsville,104,1,Harris-Stowe,56,-1,null,null
2015,2014-11-14,R,Tennessee State,97,1,Reinhardt,66,-1,null,null
2015,2014-11-14,R,Col Charleston,75,-1,Furman,40,1,null,null
2015,2014-11-14,R,Norfolk State,81,1,Pfeiffer,43,-1,null,null
2015,2014-11-14,R,North Carolina A&T,91,1,Greensboro,61,-1,null,null
2015,2014-11-14,R,Alabama State,105,1,Auburn,64,-1,null,null
2015,2014-11-14,R,Missouri State,64,1,Eastern Illinois,53,-1,null,null
2015,2014-11-14,R,Loyola Chicago,71,1,Rockhurst,58,-1,null,null
2015,2014-11-14,R,Valparaiso,90,1,East Tennessee State,76,-1,null,null
2015,2014-11-14,R,Liberty,69,1,Randolph Col,45,-1,null,null
2015,2014-11-14,R,Kansas State,98,1,Southern Utah,68,-1,null,null
2015,2014-11-14,R,Texas Tech,71,1,Loyola Maryland,59,-1,null,null
2015,2014-11-14,R,Michigan State,64,-1,Navy,59,1,null,null
2015,2014-11-14,R,Loyola Marymount,76,1,Southeast Missouri State,66,-1,null,null
2015,2014-11-14,R,Notre Dame,82,1,Binghamton,39,-1,null,null
2015,2014-11-14,R,Creighton,104,1,Central Arkansas,77,-1,null,null
2015,2014-11-14,R,Lipscomb,91,1,Berry,70,-1,null,null
2015,2014-11-14,R,Wisconsin,62,1,Northern Kentucky,31,-1,null,null
2015,2014-11-14,R,Kansas City,69,-1,Missouri,61,1,null,null
2015,2014-11-14,R,Louisiana Tech,85,-1,Southern,76,1,null,null
2015,2014-11-14,R,Illinois,80,1,Georgia Southern,71,-1,null,null
2015,2014-11-14,R,Incarnate Word,89,1,UT Tyler,49,-1,null,null
2015,2014-11-14,R,Alabama,82,1,Towson,54,-1,null,null
2015,2014-11-14,R,Utah State,72,1,Weber State,61,-1,null,null
2015,2014-11-14,R,Gonzaga,104,1,Sacramento State,58,-1,null,null
2015,2014-11-14,R,Eastern Washington,86,1,Texas Southern,62,-1,null,null
2015,2014-11-14,R,Northern Colorado,83,1,Black Hills St,62,-1,null,null
2015,2014-11-14,R,Utah Valley,60,1,South Dakota,52,-1,null,null
2015,2014-11-14,R,Baylor,80,1,McNeese,39,-1,null,null
2015,2014-11-14,R,SMU,93,1,Lamar,54,-1,null,null
2015,2014-11-14,R,Marquette,79,1,UT Martin,63,-1,null,null
2015,2014-11-14,R,Iowa,90,1,Hampton,56,-1,null,null
2015,2014-11-14,R,Idaho,77,1,Eastern Oregon,65,-1,null,null
2015,2014-11-14,R,New Mexico,79,1,Idaho State,55,-1,null,null
2015,2014-11-14,R,Portland,87,1,Concordia OR,59,-1,null,null
2015,2014-11-14,R,Pepperdine,89,1,Fresno State,74,-1,null,null
2015,2014-11-14,R,Utah,90,1,Ball State,72,-1,null,null
2015,2014-11-14,R,DePaul,72,1,UIC,71,-1,null,null
2015,2014-11-14,R,Arizona State,86,1,Chicago State,50,-1,null,null
2015,2014-11-14,R,Texas State,62,-1,Seattle U,53,1,null,null
2015,2014-11-14,R,California,91,1,Alcorn State,57,-1,null,null
2015,2014-11-14,R,Oregon State,67,1,Rice,54,-1,null,null
2015,2014-11-14,R,UTEP,65,1,Washington State,52,-1,null,null
2015,2014-11-14,R,UNLV,60,1,Morehead State,59,-1,null,null
2015,2014-11-14,R,San Diego State,79,1,Cal State Northridge,58,-1,null,null
2015,2014-11-14,R,Washington,77,1,South Carolina State,59,-1,null,null
2015,2014-11-14,R,Santa Clara,89,1,Cal State Fullerton,72,-1,null,null
2015,2014-11-14,R,UC Irvine,87,1,Chapman,36,-1,null,null
2015,2014-11-14,R,Auburn,83,1,WI Milwaukee,73,-1,null,null
2015,2014-11-14,R,St Mary's CA,77,1,Cal St-LA,67,-1,null,null
2015,2014-11-14,R,UCLA,113,1,Montana St,78,-1,null,null
2015,2014-11-14,R,Stanford,74,1,Wofford,59,-1,null,null
2015,2014-11-14,R,Oregon,107,1,Coppin State,65,-1,null,null
2015,2014-11-14,R,Hawaii,85,1,Arkansas-Pine Bluff,57,-1,null,null
2015,2014-11-14,R,Boise State,81,0,San Diego,75,0,null,"Los Angeles, CA"
2015,2014-11-14,R,Louisville,81,0,Minnesota,68,0,null,"Aguadilla, PR"
2015,2014-11-14,R,Fordham,94,1,NYIT,77,-1,null,null
2015,2014-11-14,R,San Jose State,67,1,Bethesda,44,-1,null,null
2015,2014-11-14,R,Villanova,77,0,Lehigh,66,0,null,"Allentown, PA"
2015,2014-11-14,R,Sacred Heart,71,0,Hartford,53,0,null,"Hamden, CT"
2015,2014-11-14,R,High Point,100,0,Cal State Bakersfield,99,0,4,"Honolulu, HI"
2015,2014-11-14,R,Tennessee Tech,83,1,Carolina Univ,29,-1,null,null
2015,2014-11-15,R,Old Dominion,76,1,UNC Wilmington,56,-1,null,null
2015,2014-11-15,R,Georgetown,83,1,St Francis NY,62,-1,null,null
2015,2014-11-15,R,Florida State,81,1,Manhattan,66,-1,null,null
2015,2014-11-15,R,LSU,93,1,Gardner-Webb,82,-1,null,null
2015,2014-11-15,R,Bethune-Cookman,91,1,Trinity FL,69,-1,null,null
2015,2014-11-15,R,Northern Iowa,64,1,North Dakota,52,-1,null,null
2015,2014-11-15,R,Canisius,64,1,Vermont,60,-1,null,null
2015,2014-11-15,R,Ohio,73,1,App State,47,-1,null,null
2015,2014-11-15,R,Florida Gulf Coast,63,1,Ohio,51,-1,null,null
2015,2014-11-15,R,Davidson,102,1,Catholic,66,-1,null,null
2015,2014-11-15,R,Michigan,92,1,Hillsdale,68,-1,null,null
2015,2014-11-15,R,La Salle,57,1,Colgate,52,-1,null,null
2015,2014-11-15,R,Evansville,116,1,Earlham,45,-1,null,null
2015,2014-11-15,R,Bowling Green,77,-1,Drake,58,1,null,null
2015,2014-11-15,R,Northern Illinois,86,1,Aurora,56,-1,null,null
2015,2014-11-15,R,Winthrop,82,1,Pfeiffer,59,-1,null,null
2015,2014-11-15,R,Green Bay,88,1,IL Springfield,57,-1,null,null
2015,2014-11-15,R,Butler,99,1,Maine,57,-1,null,null
2015,2014-11-15,R,Delaware State,77,-1,Pennsylvania,75,1,1,null
2015,2014-11-15,R,Western Kentucky,77,1,Austin Peay,70,-1,null,null
2015,2014-11-15,R,San Diego,67,0,Southeast Missouri State,56,0,null,"Los Angeles, CA"
2015,2014-11-15,R,Nevada,65,1,Cal Poly,49,-1,null,null
2015,2014-11-15,R,Kent State,69,-1,Youngstown State,61,1,null,null
2015,2014-11-15,R,Providence,64,1,UAlbany,60,-1,null,null
2015,2014-11-15,R,St. Bonaventure,77,1,Dartmouth,57,-1,null,null
2015,2014-11-15,R,Long Beach State,74,1,S Francisco St,64,-1,null,null
2015,2014-11-15,R,UC Riverside,75,1,UC San Diego,52,-1,null,null
2015,2014-11-15,R,South Carolina Upstate,78,1,Florida A&M,65,-1,null,null
2015,2014-11-15,R,Duke,109,1,Fairfield,59,-1,null,null
